标题,评分,人数
肖申克的救赎,9.7,3233827人评价
霸王别姬,9.6,2386832人评价
泰坦尼克号,9.5,2456667人评价
阿甘正传,9.5,2396448人评价
千与千寻,9.4,2496915人评价
美丽人生,9.5,1460835人评价
星际穿越,9.4,2136818人评价
这个杀手不太冷,9.4,2520790人评价
盗梦空间,9.4,2291260人评价
楚门的世界,9.4,1979979人评价
辛德勒的名单,9.5,1231072人评价
忠犬八公的故事,9.4,1523606人评价
海上钢琴师,9.3,1854285人评价
疯狂动物城,9.3,2245738人评价
三傻大闹宝莱坞,9.2,2048919人评价
机器人总动员,9.3,1465662人评价
放牛班的春天,9.3,1452570人评价
无间道,9.3,1538846人评价
控方证人,9.6,692582人评价
大话西游之大圣娶亲,9.2,1687084人评价
熔炉,9.3,1023480人评价
寻梦环游记,9.1,1943630人评价
触不可及,9.3,1273611人评价
教父,9.3,1087883人评价
当幸福来敲门,9.1,1665558人评价
末代皇帝,9.3,1011790人评价
哈利·波特与魔法石,9.2,1395201人评价
龙猫,9.2,1392864人评价
活着,9.3,955025人评价
怦然心动,9.1,2022934人评价
蝙蝠侠：黑暗骑士,9.2,1176765人评价
指环王3：王者无敌,9.3,896543人评价
我不是药神,9.0,2322019人评价
乱世佳人,9.3,780440人评价
飞屋环游记,9.1,1475946人评价
让子弹飞,9.0,1894208人评价
哈尔的移动城堡,9.1,1266464人评价
十二怒汉,9.4,567505人评价
海蒂和爷爷,9.3,759333人评价
素媛,9.3,765613人评价
猫鼠游戏,9.1,1187490人评价
天空之城,9.2,994818人评价
鬼子来了,9.3,704775人评价
摔跤吧！爸爸,9.0,1722864人评价
少年派的奇幻漂流,9.1,1472631人评价
钢琴家,9.3,737607人评价
指环王2：双塔奇兵,9.2,843966人评价
死亡诗社,9.2,861878人评价
大话西游之月光宝盒,9.0,1346814人评价
何以为家,9.1,1149983人评价
闻香识女人,9.1,1007252人评价
绿皮书,8.9,1863304人评价
大闹天宫,9.4,501172人评价
黑客帝国,9.1,935454人评价
指环王1：护戒使者,9.1,945456人评价
罗马假日,9.1,1036027人评价
教父2,9.3,628178人评价
狮子王,9.1,946458人评价
天堂电影院,9.2,732828人评价
饮食男女,9.2,711525人评价
辩护人,9.2,650884人评价
本杰明·巴顿奇事,9.0,1090796人评价
搏击俱乐部,9.0,957176人评价
美丽心灵,9.1,844542人评价
穿条纹睡衣的男孩,9.2,633328人评价
情书,8.9,1303332人评价
哈利·波特与死亡圣器(下),9.0,955826人评价
两杆大烟枪,9.1,666999人评价
窃听风暴,9.2,624616人评价
音乐之声,9.1,674689人评价
功夫,8.9,1313019人评价
西西里的美丽传说,8.9,1081142人评价
哈利·波特与阿兹卡班的囚徒,9.0,875282人评价
阿凡达,8.8,1554294人评价
看不见的客人,8.8,1421320人评价
